headline,date,url,news_source,news_source_web
Legendary surf filmmaker creates tequila brand headquartered in Encinitas - Coast News,"Thu, 07 Nov 2019 08:00:00 GMT",https://www.thecoastnews.com/legendary-surf-filmmaker-creates-tequila-brand-headquartered-in-encinitas/,Coast News,https://www.thecoastnews.com
Dine 909: Miguel’s signature exclusive tequila returns for a limited time - Press-Enterprise,"Thu, 14 Nov 2019 08:00:00 GMT",https://www.pe.com/dine-909-miguels-signature-exclusive-tequila-returns-for-a-limited-time,Press-Enterprise,https://www.pe.com
"Exploring Amatitán, Jalisco, the town that made tequila famous - Mexico News Daily","Fri, 02 Nov 2018 07:00:00 GMT",https://mexiconewsdaily.com/mexicolife/exploring-amatitan-jalisco/,Mexico News Daily,https://mexiconewsdaily.com
Silver Eagle Distributors inks first tequila deal with Dos Rios - Chron,"Tue, 22 Oct 2019 16:34:49 GMT",https://www.chron.com/business/retail/article/Silver-Eagle-Distributors-inks-first-tequila-deal-14551306.php,Chron,https://www.chron.com
Soaring agave prices give Mexican tequila makers a headache - Reuters,"Tue, 30 Jan 2018 08:00:00 GMT",https://www.reuters.com/article/us-mexico-tequila/soaring-agave-prices-give-mexican-tequila-makers-a-headache-idUSKBN1FJ2Y9,Reuters,https://www.reuters.com
The world is facing a tequila shortage - New York Post ,"Wed, 07 Feb 2018 16:01:10 GMT",https://nypost.com/2018/02/07/world-facing-tequila-shortage/,New York Post ,https://nypost.com
Search for the birthplace of tequila leads to impressive 18-century distillery - Mexico News Daily,"Wed, 07 Nov 2018 08:00:00 GMT",https://mexiconewsdaily.com/mexicolife/search-for-the-birthplace-of-tequila/,Mexico News Daily,https://mexiconewsdaily.com
Agave shortage give Mexican tequila makers a headache - Vallarta Daily,"Wed, 31 Jan 2018 08:00:00 GMT",https://www.vallartadaily.com/agave-shortage-give-mexican-tequila-makers-headache/,Vallarta Daily,https://www.vallartadaily.com
"Mazamitla: stone cauldrons, picturesque falls and a 350-meter bridge - Mexico News Daily","Fri, 06 Sep 2019 07:00:00 GMT",https://mexiconewsdaily.com/mexicolife/mazamitla-stone-cauldrons-picturesque-falls/,Mexico News Daily,https://mexiconewsdaily.com
World faces tequila shortage as less agave in Mexico - Daily Mail,"Thu, 08 Feb 2018 08:00:00 GMT",https://www.dailymail.co.uk/news/article-5369957/Ay-caramba-World-faces-tequila-shortage.html,Daily Mail,https://www.dailymail.co.uk
Mexican tequila maker will turn agave waste into biofuel - The Yucatan Times,"Fri, 03 Mar 2017 08:00:00 GMT",https://www.theyucatantimes.com/2017/03/tequila-maker-will-turn-agave-waste-into-biofuel/,The Yucatan Times,https://www.theyucatantimes.com
"Mex 1 ups their tequila game, brings in new culinary director - Charleston City Paper","Thu, 08 Jun 2017 07:00:00 GMT",https://www.charlestoncitypaper.com/Eat/archives/2017/06/08/mex-1-ups-their-tequila-game-brings-in-new-culinary-director,Charleston City Paper,https://www.charlestoncitypaper.com
"A new name in Tequila / San Francisco socialite provides the cash; Southern California woman, the image - San Francisco Chronicle","Fri, 15 Sep 2006 07:00:00 GMT",https://www.sfgate.com/wine/article/A-new-name-in-Tequila-San-Francisco-socialite-2488306.php,San Francisco Chronicle,https://www.sfgate.com
Fifth Group Restaurants bringing Alma Cocina to Buckhead in December - Atlanta Journal Constitution,"Tue, 22 Oct 2019 07:00:00 GMT",https://www.ajc.com/blog/atlanta-restaurants/fifth-group-restaurants-bringing-alma-cocina-buckhead-december/tUhc2DYPM9CC0SSKohMZ8O/,Atlanta Journal Constitution,https://www.ajc.com
"Form 10-K Eastside Distilling, For: Dec 31 - StreetInsider.com","Mon, 30 Mar 2020 07:00:00 GMT",https://www.streetinsider.com/SEC+Filings/Form+10-K+Eastside+Distilling%2C+For%3A+Dec+31/16683571.html,StreetInsider.com,https://www.streetinsider.com
"Celebrate National Margarita Day, Atlanta! - Atlanta Journal Constitution","Mon, 22 Feb 2016 08:00:00 GMT",https://www.ajc.com/blog/atlanta-restaurants/celebrate-national-margarita-day-atlanta/ONOzi3uvt6XKOLPODpQzvN/,Atlanta Journal Constitution,https://www.ajc.com
Oaxaca's Huautla Cave is called 'the most magnificent cave on earth' - Mexico News Daily,"Fri, 31 May 2019 07:00:00 GMT",https://mexiconewsdaily.com/mexicolife/the-most-magnificent-cave-on-earth/,Mexico News Daily,https://mexiconewsdaily.com
Savoring Tequila as a travel destination - Chicago Daily Herald,"Sun, 07 Aug 2011 07:00:00 GMT",https://www.dailyherald.com/article/20110807/entlife/708079935/,Chicago Daily Herald,https://www.dailyherald.com
Olla in Miami Beach Restaurant Review - Miami New Times,"Tue, 14 Feb 2017 08:00:00 GMT",https://www.miaminewtimes.com/restaurants/coyo-taco-king-scott-linquists-mexican-travels-inspire-olla-a-south-beach-spot-9138015,Miami New Times,https://www.miaminewtimes.com
Guadalajara's qanat was built by the Spanish to bring water to the city - Mexico News Daily,"Tue, 08 May 2018 07:00:00 GMT",https://mexiconewsdaily.com/mexicolife/what-is-a-persian-qanat-doing-in-guadalajara/,Mexico News Daily,https://mexiconewsdaily.com
From canyons to cerveza: Mexico's best train rides - San Francisco Chronicle,"Wed, 05 Mar 2008 08:00:00 GMT",https://www.sfgate.com/mexico/mexicomix/article/From-canyons-to-cerveza-Mexico-s-best-train-rides-2501130.php,San Francisco Chronicle,https://www.sfgate.com
