municipal_code,crime_type,year,january,feburary,march,april,may,june,july,august,september,october,november,december,state_code,state_name,municipal_name,population,geo-id,total_crime
14005,Homicidio,2015,1,1,0,0,0,0,0,1,0,0,0,0,14,Jalisco,Amatitán,15646,0,3
14005,Extorsión,2016,0,0,0,0,1,0,0,0,0,0,0,1,14,Jalisco,Amatitán,15815,0,2
14005,Homicidio,2016,1,0,1,0,0,0,0,1,0,1,1,1,14,Jalisco,Amatitán,15815,0,6
14005,Narcomenudeo,2016,0,0,0,0,0,0,0,0,0,0,0,1,14,Jalisco,Amatitán,15815,0,1
14005,Homicidio,2017,2,1,2,0,2,0,1,0,1,0,0,0,14,Jalisco,Amatitán,15992,0,9
14005,Narcomenudeo,2017,1,1,0,0,0,0,0,0,0,1,0,0,14,Jalisco,Amatitán,15992,0,3
14005,Extorsión,2018,0,0,1,0,0,0,0,0,0,0,0,0,14,Jalisco,Amatitán,16150,0,1
14005,Homicidio,2018,2,0,0,0,1,0,0,0,2,0,0,0,14,Jalisco,Amatitán,16150,0,5
14005,Narcomenudeo,2018,0,0,0,0,0,0,0,0,0,1,1,0,14,Jalisco,Amatitán,16150,0,2
14005,Extorsión,2019,0,0,1,0,0,1,0,0,0,0,0,0,14,Jalisco,Amatitán,16304,0,2
14005,Homicidio,2019,0,0,0,0,0,1,0,0,0,2,1,0,14,Jalisco,Amatitán,16304,0,4
14005,Narcomenudeo,2019,0,1,0,0,0,1,0,0,0,0,0,0,14,Jalisco,Amatitán,16304,0,2
14005,Extorsión,2020,2,0,0,0,0,0,0,0,0,0,0,0,14,Jalisco,Amatitán,16451,0,2
14005,Homicidio,2020,0,1,0,0,0,0,0,0,0,0,0,0,14,Jalisco,Amatitán,16451,0,1
14039,Extorsión,2015,14,16,18,9,20,25,22,21,14,19,15,16,14,Jalisco,Guadalajara,1508885,1,209
14039,Homicidio,2015,27,25,16,16,23,22,15,17,29,30,39,29,14,Jalisco,Guadalajara,1508885,1,288
14039,Narcomenudeo,2015,143,99,152,142,97,180,112,62,59,134,102,155,14,Jalisco,Guadalajara,1508885,1,1437
14039,Extorsión,2016,14,2,6,11,8,22,15,32,12,17,15,21,14,Jalisco,Guadalajara,1503467,1,175
14039,Homicidio,2016,33,23,19,27,24,18,27,30,29,27,29,29,14,Jalisco,Guadalajara,1503467,1,315
14039,Narcomenudeo,2016,151,112,118,102,78,28,52,24,12,15,12,11,14,Jalisco,Guadalajara,1503467,1,715
14039,Secuestro,2016,0,0,0,1,0,0,0,0,0,0,0,0,14,Jalisco,Guadalajara,1503467,1,1
14039,Extorsión,2017,11,8,9,10,8,2,7,12,12,12,13,12,14,Jalisco,Guadalajara,1500530,1,116
14039,Homicidio,2017,30,16,28,23,34,19,23,27,30,36,37,32,14,Jalisco,Guadalajara,1500530,1,335
14039,Narcomenudeo,2017,51,38,30,32,35,34,37,33,43,43,44,56,14,Jalisco,Guadalajara,1500530,1,476
14039,Secuestro,2017,1,0,0,0,0,0,0,0,0,0,1,0,14,Jalisco,Guadalajara,1500530,1,2
14039,Extorsión,2018,15,19,15,18,20,14,15,12,11,17,11,10,14,Jalisco,Guadalajara,1499330,1,177
14039,Homicidio,2018,33,41,65,35,38,44,40,42,51,60,53,58,14,Jalisco,Guadalajara,1499330,1,560
14039,Narcomenudeo,2018,79,82,57,41,61,72,48,50,63,73,70,62,14,Jalisco,Guadalajara,1499330,1,758
14039,Secuestro,2018,0,1,0,0,0,0,1,0,0,1,2,1,14,Jalisco,Guadalajara,1499330,1,6
14039,Extorsión,2019,19,23,30,14,26,18,21,11,5,9,4,6,14,Jalisco,Guadalajara,1500273,1,186
14039,Homicidio,2019,48,53,40,37,37,38,38,32,28,39,33,40,14,Jalisco,Guadalajara,1500273,1,463
14039,Narcomenudeo,2019,72,70,75,75,59,42,55,42,41,26,27,18,14,Jalisco,Guadalajara,1500273,1,602
14039,Secuestro,2019,0,0,0,0,1,0,0,0,0,1,0,2,14,Jalisco,Guadalajara,1500273,1,4
14039,Extorsión,2020,14,17,14,0,0,0,0,0,0,0,0,0,14,Jalisco,Guadalajara,1503505,1,45
14039,Homicidio,2020,47,38,41,0,0,0,0,0,0,0,0,0,14,Jalisco,Guadalajara,1503505,1,126
14039,Narcomenudeo,2020,16,17,25,0,0,0,0,0,0,0,0,0,14,Jalisco,Guadalajara,1503505,1,58
14039,Secuestro,2020,1,0,1,0,0,0,0,0,0,0,0,0,14,Jalisco,Guadalajara,1503505,1,2
14095,Homicidio,2015,0,0,0,0,1,0,0,1,2,0,0,0,14,Jalisco,Teuchitlán,9696,2,4
14095,Homicidio,2016,0,0,2,0,2,0,0,0,0,1,0,0,14,Jalisco,Teuchitlán,9819,2,5
14095,Narcomenudeo,2016,0,0,2,0,0,0,0,0,0,0,0,0,14,Jalisco,Teuchitlán,9819,2,2
14095,Homicidio,2017,0,1,1,1,0,0,0,0,1,0,0,0,14,Jalisco,Teuchitlán,9948,2,4
14095,Narcomenudeo,2017,1,1,0,0,0,0,0,0,0,0,0,0,14,Jalisco,Teuchitlán,9948,2,2
14095,Homicidio,2018,1,1,0,0,0,0,0,0,0,0,0,0,14,Jalisco,Teuchitlán,10074,2,2
14095,Narcomenudeo,2018,0,1,0,0,0,2,0,0,0,0,0,0,14,Jalisco,Teuchitlán,10074,2,3
